,FEAR_GREED,Open,High,Low,Close,Adj Close,Volume
2021-01-04,51,375.30999755859375,375.45001220703125,364.82000732421875,368.7900085449219,363.9387512207031,110210800
2021-01-05,53,368.1000061035156,372.5,368.04998779296875,371.3299865722656,366.4453430175781,66426200
2021-01-06,60,369.7099914550781,376.9800109863281,369.1199951171875,373.54998779296875,368.6361389160156,107997700
2021-01-07,66,376.1000061035156,379.8999938964844,375.9100036621094,379.1000061035156,374.1131286621094,68766800
2021-01-08,72,380.5899963378906,381.489990234375,377.1000061035156,381.260009765625,376.2447204589844,71677200
2021-01-11,64,377.8500061035156,380.5799865722656,377.7200012207031,378.69000244140625,373.7085266113281,51034700
2021-01-12,69,378.8900146484375,379.8599853515625,376.3599853515625,378.7699890136719,373.7874755859375,52547700
2021-01-13,70,378.69000244140625,380.8599853515625,377.8500061035156,379.7900085449219,374.7940673828125,45303600
2021-01-14,66,380.5899963378906,381.1300048828125,378.1000061035156,378.4599914550781,373.4815368652344,49989100
2021-01-15,60,376.7200012207031,377.5799865722656,373.70001220703125,375.70001220703125,370.75787353515625,107160000
2021-01-19,61,378.3399963378906,379.2300109863281,376.75,378.6499938964844,373.6690673828125,51233300
2021-01-20,74,381.1099853515625,384.7900085449219,380.69000244140625,383.8900146484375,378.84014892578125,61836100
2021-01-21,72,384.489990234375,384.95001220703125,383.25,384.239990234375,379.185546875,47840100
2021-01-22,67,382.25,384.1300048828125,381.8399963378906,382.8800048828125,377.84344482421875,52860500
2021-01-25,68,383.6700134277344,384.7699890136719,378.4599914550781,384.3900146484375,379.3335876464844,70402000
2021-01-26,62,385.4100036621094,385.8500061035156,383.5400085449219,383.7900085449219,378.741455078125,42665300
2021-01-27,39,380.2200012207031,380.32000732421875,372.010009765625,374.4100036621094,369.48486328125,123351100
2021-01-28,41,376.3599853515625,381.92999267578125,375.8900146484375,377.6300048828125,372.6625061035156,94198100
2021-01-29,35,375.6300048828125,376.6700134277344,368.2699890136719,370.07000732421875,365.2019348144531,126765100
2021-02-01,39,373.7200012207031,377.3399963378906,370.3800048828125,376.2300109863281,371.2809143066406,75817600
2021-02-02,57,379.6499938964844,383.2200012207031,376.32000732421875,381.54998779296875,376.5309143066406,64450700
2021-02-03,51,382.44000244140625,383.70001220703125,380.4800109863281,381.8500061035156,376.8269958496094,52427100
2021-02-04,64,382.9599914550781,386.239990234375,381.9700012207031,386.19000244140625,381.10986328125,47142600
2021-02-05,60,388.20001220703125,388.4700012207031,386.1400146484375,387.7099914550781,382.60986328125,48669800
2021-02-08,57,389.2699890136719,390.55999755859375,388.3500061035156,390.510009765625,385.3730773925781,38365200
2021-02-09,64,389.6099853515625,390.8900146484375,389.1700134277344,390.25,385.1164245605469,35551100
2021-02-10,55,392.1199951171875,392.2799987792969,387.5,390.0799865722656,384.9486999511719,59154400
2021-02-11,66,391.239990234375,391.69000244140625,388.1000061035156,390.7099914550781,385.57037353515625,42913300
2021-02-12,63,389.8500061035156,392.8999938964844,389.7699890136719,392.6400146484375,387.47503662109375,50593300
2021-02-16,71,393.9599914550781,394.1700134277344,391.5299987792969,392.29998779296875,387.1394958496094,50972400
2021-02-17,66,390.4200134277344,392.6600036621094,389.3299865722656,392.3900146484375,387.22833251953125,52290600
2021-02-18,59,389.5899963378906,391.5199890136719,387.739990234375,390.7200012207031,385.58026123046875,59712800
2021-02-19,58,392.07000732421875,392.3800048828125,389.54998779296875,390.0299987792969,384.89935302734375,83241000
2021-02-22,56,387.05999755859375,389.6199951171875,386.739990234375,387.0299987792969,381.9388122558594,67414200
2021-02-23,58,384.6600036621094,388.95001220703125,380.20001220703125,387.5,382.4026184082031,107284100
2021-02-24,67,386.3299865722656,392.2300109863281,385.2699890136719,391.7699890136719,386.616455078125,72433900
2021-02-25,54,390.4100036621094,391.8800048828125,380.7799987792969,382.3299865722656,377.3006286621094,146670500
2021-02-26,48,384.3500061035156,385.5799865722656,378.2300109863281,380.3599853515625,375.3565673828125,152701600
2021-03-01,67,385.5899963378906,390.9200134277344,380.57000732421875,389.5799865722656,384.45526123046875,105348800
2021-03-02,58,389.82000732421875,390.07000732421875,386.0,386.5400085449219,381.45526123046875,79595300
2021-03-03,51,385.7900085449219,386.8299865722656,381.30999755859375,381.4200134277344,376.4026184082031,119940200
2021-03-04,47,381.2200012207031,384.0,371.8800048828125,376.70001220703125,371.7447204589844,183433000
2021-03-05,58,380.4599914550781,384.760009765625,372.6400146484375,383.6300048828125,378.58355712890625,152039600
